time,open,close,high,low,Volume
1632184980,4596400,4588900,4599800,4588900,2.41280311
1632185040,4585609.292,4592800,4593400,4578400,0.78742692
1632185100,4596400,4592300,4597100,4581400,0.2451836
1632185160,4587900,4590400,4590400,4587900,0.05250614
1632185220,4588000,4583700,4591800,4582700,0.11588655
1632185280,4581800,4568900,4581800,4567000,0.68868704
1632185340,4571300,4582700,4586900,4567700,0.91711227
1632185400,4576600,4584900,4589900,4576600,0.82029294
1632185460,4578400,4574100,4580900,4574100,0.67983437
1632185520,4567400,4562800,4568261.48,4561500,1.34100483
1632185580,4562600,4563100,4565800,4561600,0.54397065
1632185640,4565742.117,4561000,4565742.12,4561000,0.70079477
1632185700,4566749.192,4580900,4580900,4566749.192,0.31400444
1632185760,4579800,4579200,4582391.82,4579200,1.01498805
1632185820,4569700,4571700,4571700,4569700,0.10129494
1632185880,4576900,4578338.929,4580400,4576900,0.50133805
1632185940,4566600,4561200,4566600,4560900,0.05162655
1632186000,4565700,4554700,4566000,4553400,0.04145433
1632186060,4556400,4569017.569,4570800,4556400,0.78085717
1632186120,4573200,4579755.824,4585000,4573200,0.56258767
1632186180,4577900,4581509.008,4581509.01,4577900,0.27964187
1632186240,4581600,4591800,4591800,4581600,0.42559388
1632186300,4590822.8,4590300,4599300,4590300,0.36311402
1632186360,4593562.15,4593452.576,4596411.07,4593452.576,0.48330867
1632186420,4592400,4588200,4592400,4588200,0.05248779
1632186540,4580300,4580300,4580300,4580300,0.005
1632186600,4578000,4576200,4578000,4576200,0.01212269
1632186660,4577500,4576666.677,4578500,4576666.677,1.00869594
1632186720,4575100,4571900,4575100,4571900,0.21754337
1632186780,4573000,4575300,4575300,4573000,0.10168527
1632186840,4572600,4564300,4572600,4564300,0.11869955
1632186900,4564500,4578654.125,4578654.13,4561300,0.05598717
1632186960,4580700,4589700,4589700,4580600,0.20046359
1632187020,4592800,4592400,4594900,4589400,0.0658
1632187080,4583700,4583700,4583700,4583700,0.05
1632187140,4580700,4579400,4580700,4579000,0.21136545
1632187200,4578900,4596600,4596600,4578900,0.29507574
1632187260,4596700,4598800,4600300,4596700,0.06494263
1632187320,4598219.314,4611600,4611600,4598219.314,0.80391119
1632187380,4611700,4605600,4612200,4600100,1.21717782
1632187440,4606300,4603300,4606300,4603300,0.05712502
1632187500,4596600,4594500,4596600,4594500,0.00244726
1632187560,4599070.541,4603800,4603800,4599070.541,0.02920809
1632187620,4603900,4617600,4619400,4603900,0.59851051
1632187680,4613000,4611148.28,4613000,4611148.28,0.2740452
1632187740,4614500,4629500,4629900,4614500,0.93633626
1632187800,4624200,4616626.655,4624500,4616626.655,0.25779586
1632187860,4614873.575,4633000,4633700,4614873.575,0.88159443
1632187920,4633700,4642900,4645600,4633700,0.07243855
1632187980,4640591.121,4641700,4654300,4640591.121,0.14882138
1632188040,4637200,4646900,4649200,4637200,0.51602489
1632188100,4647601.905,4647601.905,4647601.9,4647601.905,0.08293275
1632188160,4649135.514,4645400,4652200,4645400,0.01545062
1632188220,4644425.143,4650700,4650700,4644425.143,0.04027868
1632188280,4650800,4651500,4651500,4650800,0.0032
1632188340,4649800,4660100,4660100,4649800,0.60039448
1632188400,4657460.819,4670800,4670800,4657460.819,0.43061643
1632188460,4665300,4687600,4687600,4665300,0.8857869
1632188520,4681300,4689600,4689600,4671200,0.1139716
1632188580,4689600,4673600,4689600,4673600,0.02385615
1632188700,4674200,4674200,4674200,4674200,0.00406647
1632188760,4669200,4669200,4669200,4669200,0.00124
1632188820,4666700,4666700,4666700,4666700,0.01
1632188880,4660800,4659700,4660800,4659640.788,0.57534397
1632188940,4659500,4660900,4660900,4657600,0.16736438
1632189000,4662500,4660300,4665500,4660300,0.05617423
1632189060,4659400,4659400,4659400,4659400,0.001
1632189120,4655500,4656100,4662500,4655500,0.06578
1632189180,4655800,4655800,4655800,4655800,0.005
1632189240,4656400,4655600,4656400,4655600,0.051487
1632189300,4655800,4662595.061,4663000,4655800,0.5742148
1632189360,4663100,4669200,4669200,4663100,0.31174287
1632189420,4669300,4664700,4670100,4664700,0.0152167
1632189480,4667414.734,4677200,4677200,4667414.734,0.0946
1632189540,4677300,4685800,4689300,4677300,1.08151185
1632189600,4685598.044,4665000,4685598.04,4663900,1.13127801
1632189660,4660400,4681500,4681500,4660400,1.30902493
1632189720,4681589.794,4687041.601,4687549.36,4681589.794,0.57578816
1632189780,4673500,4684700,4684700,4673500,0.53768587
1632189840,4682200,4684100,4686800,4682200,0.35757952
1632189900,4684400,4679200,4689500,4678400,1.33905531
1632189960,4680200,4684592.466,4685631.2,4680200,0.16730152
1632190020,4679664.313,4681100,4681100,4676269.363,0.76889286
1632190080,4677000,4682800,4682800,4677000,0.24618287
1632190140,4682800,4684900,4684900,4682800,0.0608
1632190200,4683900,4685900,4685900,4683900,0.05200231
1632190260,4686000,4688483.501,4692600,4686000,0.61462089
1632190320,4690892.006,4693409.988,4693738.42,4690892.006,0.8929839
1632190380,4689578.276,4692600,4693700,4689578.276,0.26606698
1632190440,4693191.033,4695700,4695700,4693191.033,1.29669955
